student_id,jamb_attempts_count,jamb_year_most_recent,jamb_score_most_recent,school_type,school_location,gender,age_when_took_jamb,study_hours_per_day,study_resources,attended_extra_tutorials,consistent_study_schedule,study_plan_adherence,guardian_education_level,access_to_computer_smartphone,household_dependents,internet_reliability,access_to_textbooks,electricity_consistency,quality_of_instruction,familiar_with_cbt,arrived_early_exam_center,biggest_challenge,advice_to_future_candidate
16,1,2025,243,Private,Semi-Urban,Female,15-17 years,3-4 hours,"Past questions, Textbooks",No,Yes,Often,Secondary ,Yes,,Moderately Reliable,Most of them,Most days,Average,Yes,"Yes, a little early",Forgetting what I studied after 2 or 3 days,"Start preparing early because there's actually no time to waste
I was told that as well and I felt like there's still much time left and I think that quite affected my score
I started serious preparation like January/February"
17,1,2020,227,Public/Government/Government,Urban,Male,18-20 years,1-2 hours,"Past questions, Textbooks",Yes,Yes,Often,Tertiary,Yes,,Moderately Reliable,Some of them,A few days a week,Good,No,"Yes, a little early",Fear of what might come out,To study ahead and make researches
18,1,2020,250,Private,Urban,Female,21-23 years,1-2 hours,Past questions,No,Yes,Always,Primary ,Yes,1-2 dependents,Very Reliable,"Yes, all",A few days a week,Good,Yes,"Yes, a little early",Transportation to the centre ,Study hard 
19,1,2020,230,Private,Rural,Female,18-20 years,4+ hours,"Past questions, Physical tutorials/coaching centers, Private lessons",Yes,Yes,Always,Tertiary,Yes,1-2 dependents,Very Reliable,"Yes, all",Most days,Excellent,Yes,"Yes, a little early",My center is far,Read well 
20,1,2020,220,Public/Government/Government,Urban,Female,18-20 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,No,Sometimes,Secondary ,Yes,6-8 dependents,Very Reliable,Most of them,Daily,Excellent,Yes,"Yes, a little early",The aspect of not knowing one's exams center before the exam's day,Read and trust God in all you do 
21,1,2020,320,Public/Government/Government,Urban,Male,21-23 years,3-4 hours,Private lessons,Yes,Yes,Always,Secondary ,Yes,3-5 dependents,Very Reliable,"Yes, all",A few days a week,Excellent,Yes,"Yes, a little early",System malfunctioning,Study hard and be very fast typing
22,1,2020,182,Private,Semi-Urban,Female,18-20 years,1-2 hours,"Past questions, Textbooks",No,Yes,Always,Tertiary,Yes,9+ dependents,Very Reliable,"Yes, all",Daily,Good,Yes,"Yes, significantly early",No challenge. ,"Pray hard, study hard."
23,1,2021,218,Public/Government/Government,Urban,Female,15-17 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Yes,Often,Primary ,No,3-5 dependents,Slightly Reliable,Some of them,A few days a week,Good,No,"Yes, significantly early",Network issue ,study hard and prepare yourself for the exam.
24,1,2020,213,Public/Government/Government,Rural,Female,18-20 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,No,Sometimes,Primary,No,6-8 dependents,Slightly Reliable,Some of them,A few days a week,Good,No,"Yes, significantly early",Access to internet ,Prepare at all cost
25,1,2020,220,Public/Government/Government,Urban,Female,21-23 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,Yes,Sometimes,Tertiary,Yes,3-5 dependents,Very Reliable,Some of them,Most days,Average,No,"Yes, significantly early",Fear and my system went off while taking the exam. ,"Join a study group, itll help you effectively. Studying on your own can frustrate you. "
26,1,2025,275,Public/Government/Government,Urban,Male,18-20 years,3-4 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers",Yes,Yes,Always,Tertiary,Yes,3-5 dependents,Moderately Reliable,Most of them,Daily,Good,Yes,"Yes, a little early",Sourcing for past questions and video tutorials ,Always be consistent in your study plan and get yourself familiar with computer 
27,1,2024,152,Mission/Religious,Urban,Female,18-20 years,1-2 hours,Past questions,Yes,Sometimes,Sometimes,Primary ,No,,Very Reliable,Some of them,Daily,Good,No,"Yes, significantly early",The question,study hard
28,1,2020,234,Public/Government/Government,Urban,Male,18-20 years,3-4 hours,"Past questions, Private lessons",Yes,Yes,Sometimes,Tertiary,Yes,3-5 dependents,Slightly Reliable,"Yes, all",A few days a week,Good,Yes,"Yes, significantly early",Distance ,Upgrade there system 
29,1,2023,254,Public/Government/Government,Semi-Urban,Prefer not to say,15-17 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,No,Often,Tertiary,No,,Very Reliable,"Yes, all",Most days,Average,Yes,"Yes, significantly early",None.,"I'd ask them to read well, really well."
30,1,2023,252,Public/Government/Government,Rural,Female,15-17 years,3-4 hours,Past questions,No,No,Often,Tertiary,No,3-5 dependents,Slightly Reliable,Most of them,Rarely,Average,No,"Yes, significantly early",Lack of resource,study harder
31,1,2023,206,Public/Government/Government,Semi-Urban,Female,15-17 years,4+ hours,"Past questions, Textbooks",No,No,Rarely,Tertiary,Yes,3-5 dependents,Moderately Reliable,Some of them,A few days a week,Good,Yes,"Yes, a little early",Procrastination ,Read
32,2,2020,220,Private,Rural,Female,15-17 years,1-2 hours,Textbooks,Yes,Yes,Often,Tertiary,No,,No Access,Some of them,A few days a week,Good,Yes,"Yes, a little early",Delay,Nil
33,1,2022,240,Public/Government/Government,Semi-Urban,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers",Yes,No,Never,Secondary,No,6-8 dependents,Moderately Reliable,No,A few days a week,Good,Yes,"Yes, significantly early",Cant remember ,Whatever is worth doing at all is worth doing well
34,1,2025,187,Public/Government/Government,Urban,Female,18-20 years,1-2 hours,Physical tutorials/coaching centers,Yes,Yes,Often,Tertiary,Yes,1-2 dependents,Moderately Reliable,"Yes, all",Daily,Excellent,Yes,"Yes, a little early",My laptop went off all of a sudden,Make sure you read alot
35,1,2023,168,Private,Semi-Urban,Female,18-20 years,3-4 hours,Physical tutorials/coaching centers,Yes,Yes,Always,Secondary ,No,1-2 dependents,Moderately Reliable,"Yes, all",A few days a week,Average,Yes,"Yes, a little early",Financial issues ,They should do better in their timing 
36,1,2021,177,Private,Urban,Female,18-20 years,3-4 hours,Physical tutorials/coaching centers,No,Yes,Always,Tertiary,Yes,1-2 dependents,Very Reliable,No,A few days a week,Good,Yes,"Yes, significantly early",Solving past questions ,Believe in yourself 
37,1,2023,219,Public/Government/Government,Semi-Urban,Female,15-17 years,<1 hour,Textbooks,No,No,Sometimes,Tertiary,No,6-8 dependents,Slightly Reliable,Very few,Daily,Average,No,"Yes, a little early","I had to work and read, I was not having enough time to balance the two","Don't rely only on pass question, read your notes book or text book before studying pass question "
38,1,2023,166,Private,Semi-Urban,Male,18-20 years,1-2 hours,"Textbooks, Other (specify)",No,Sometimes,Rarely,Secondary,Yes,9+ dependents,Slightly Reliable,Very few,Never,Average,No,"Yes, significantly early",Over crowd at the center. ,Let's them  keep praying and stay focus 
39,1,2023,219,Public/Government/Government,Semi-Urban,Female,15-17 years,<1 hour,Textbooks,No,Sometimes,Sometimes,Tertiary,No,6-8 dependents,Slightly Reliable,Some of them,Daily,Average,No,"Yes, significantly early",I had to work and read so it was hard balancing both,"Read textbook and notes book before studying pass question, don't only study pass question "
40,1,2023,245,Public/Government/Government,Rural,Male,21-23 years,4+ hours,"Past questions, Textbooks, Online tutorials/videos",No,Yes,Always,Tertiary,Yes,3-5 dependents,Very Reliable,"Yes, all",A few days a week,Excellent,Yes,"Yes, a little early",Studying English sounds ,Read daily and study past questions
41,2,2022,240,Private,Rural,Female,15-17 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Sometimes,Often,Tertiary,Yes,,Very Reliable,Most of them,Daily,Excellent,Yes,"Yes, a little early","Time management, delay in registration and issues with profile code, not being able to change your email is an error occurred while uploading, hanging computer systems, and lastly disorganization at my JAMB center(We waited for hours before the exam started, and by then, I was already tired and anxious. It affected my concentration a bit, but I had to push through and focus)","If I could give one piece of advice to a future JAMB candidate, it would be to start preparing early and stay consistent. Dont wait until its too close to the exam before you take it seriously. Focus on understanding your subjects, especially the ones youre not strong in, and practice past questions regularly. Also, get familiar with the CBT system so youre not confused on the exam day. Its normal to feel nervous, but dont let fear control you. Trust in your preparation, stay focused, and put your confidence in God. With steady effort and the right mindset, youll be fine."
42,1,2023,237,Private,Rural,Male,15-17 years,<1 hour,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Yes,Always,Secondary ,Yes,6-8 dependents,Very Reliable,"Yes, all",Daily,Good,No,"Yes, significantly early",no challenge ,pray
43,1,2021,199,Private,Rural,Female,15-17 years,3-4 hours,"Past questions, Physical tutorials/coaching centers",Yes,Yes,Always,Secondary ,Yes,3-5 dependents,Very Reliable,Most of them,Rarely,Excellent,Yes,"Yes, significantly early",Nothing ,Read well
44,2,2022,175,Private,Urban,Female,21-23 years,1-2 hours,Textbooks,Yes,Yes,Often,Primary ,No,1-2 dependents,Moderately Reliable,Some of them,Most days,Good,No,"Yes, significantly early",I didnt have much time to read,Study hard
45,1,2022,174,Public/Government/Government,Urban,Male,18-20 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Always,Secondary ,No,1-2 dependents,Slightly Reliable,Very few,A few days a week,Good,Yes,"Yes, significantly early",I had to go to travel to a very far place to write for the exam ,At the End of the day hope you could tell yourself I did my best 
46,1,2024,201,Private,Urban,Male,18-20 years,3-4 hours,Private lessons,Yes,Yes,Sometimes,Primary ,No,,Moderately Reliable,Some of them,Most days,Excellent,Yes,"Yes, a little early",Fear,"To avoid fear,just be confidence that you can do it"
47,3,2021,283,Private,Urban,Female,15-17 years,4+ hours,"Past questions, Textbooks, Study groups",No,Yes,Often,Primary ,No,9+ dependents,No Access,Some of them,Most days,Average,No,"Yes, significantly early",Locating my center,Preparation always helps.
48,1,2023,169,Private,Urban,Female,18-20 years,3-4 hours,Past questions,Yes,Yes,Always,Tertiary,Yes,,Very Reliable,"Yes, all",Daily,Excellent,Yes,"Yes, significantly early",I was afraid so I wasted time ,Be prepared and do not be afraid 
49,1,2020,230,Private,Rural,Female,15-17 years,<1 hour,"Textbooks, Physical tutorials/coaching centers",Yes,No,Sometimes,Secondary ,No,1-2 dependents,No Access,Some of them,Most days,Good,Yes,"Yes, significantly early",,Study and rest well
50,2,2025,241,Private,Semi-Urban,Male,15-17 years,<1 hour,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Sometimes,Often,Secondary ,Yes,1-2 dependents,Very Reliable,"Yes, all",Daily,Good,Yes,"Yes, significantly early",Covering the entire Jamb syllabus ,Study past questions 
51,2,2024,210,Public/Government/Government,Urban,Female,18-20 years,4+ hours,"Past questions, Textbooks, Online tutorials/videos",Yes,Yes,Often,Secondary,No,,Slightly Reliable,Some of them,Most days,Good,No,"Yes, significantly early",Not having enough material for studying ,Study when you can
52,1,2024,189,Private,Urban,Female,15-17 years,1-2 hours,Online tutorials/videos,No,Yes,Often,Tertiary,Yes,1-2 dependents,Very Reliable,"Yes, all",Most days,Good,Yes,"Yes, a little early",Trying to score everything you read,Read hard
53,1,2024,181,Public/Government/Government,Urban,Female,18-20 years,3-4 hours,Past questions,Yes,Yes,Never,Tertiary,No,1-2 dependents,Very Reliable,Some of them,A few days a week,Excellent,Yes,"Yes, a little early",Network problem ,Come early 
54,2,2025,153,Private,Urban,Male,18-20 years,1-2 hours,Past questions,Yes,Yes,Always,Primary ,Yes,3-5 dependents,Very Reliable,"Yes, all",Most days,Excellent,Yes,"Yes, a little early",Nothing ,Study hard 
55,3,2024,188,Public/Government/Government,Rural,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,No,Sometimes,Tertiary,Yes,3-5 dependents,Very Reliable,Some of them,Rarely,Good,No,"Yes, significantly early",Information overload ,Study past questions it helps alot
56,2,2024,216,Public/Government/Government,Urban,Female,15-17 years,3-4 hours,Past questions,No,Yes,Always,Tertiary,Yes,3-5 dependents,Very Reliable,"Yes, all",Daily,Good,Yes,"Yes, significantly early",Procrastination ,"Study well, revise and be calm when taking the exam."
57,2,2024,204,Public/Government/Government,Rural,Female,21-23 years,1-2 hours,"Past questions, Textbooks",No,Yes,Rarely,Secondary ,No,,Very Reliable,No,A few days a week,Good,Yes,"Yes, a little early",Not having enough material for studying ,Read hard and study smart
58,1,2024,81,Other (specify),Rural,Female,24-25 years,1-2 hours,"Past questions, Textbooks, Online tutorials/videos",No,No,Sometimes,Secondary ,Yes,6-8 dependents,Moderately Reliable,Some of them,Most days,Good,Yes,"Yes, a little early",The fear of failure ,They should read well
59,2,2024,226,Private,Semi-Urban,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Often,Tertiary,No,6-8 dependents,Slightly Reliable,Some of them,A few days a week,Excellent,Yes,"Yes, significantly early",Nothing just nerves on edge,"Don't be scared if you studied then all you have to do is be calm, pray and write what you know. Its not difficult till you make it seem like it is. "
60,4,2024,195,Mission/Religious,Urban,Female,18-20 years,1-2 hours,"Past questions, Textbooks, Online tutorials/videos",Yes,Sometimes,Sometimes,Tertiary,Yes,1-2 dependents,Moderately Reliable,"Yes, all",Most days,Average,Yes,"Yes, significantly early",No internet connection at the center ,Read
61,1,2024,81,Other (specify),Rural,Female,24-25 years,1-2 hours,"Past questions, Textbooks, Online tutorials/videos",No,No,Sometimes,Secondary ,Yes,6-8 dependents,Very Reliable,Some of them,Most days,Excellent,Yes,"Yes, significantly early",Fear of failure ,They should read all the necessary books and pass
62,2,2025,219,Public/Government/Government,Semi-Urban,Female,15-17 years,1-2 hours,Past questions,Yes,Sometimes,Sometimes,Tertiary,No,1-2 dependents,Very Reliable,Some of them,Rarely,Good,Yes,"Yes, a little early",Fear,You can do it
63,3,2024,216,Public/Government/Government,Semi-Urban,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos",No,Sometimes,Sometimes,Tertiary,Yes,6-8 dependents,Moderately Reliable,Most of them,Most days,Good,Yes,"Yes, a little early",The wide scope of what to read or need to cover,"Have a syllabus, now that I am in uni and have experienced cbt exams as my normal exams.
I know CBT is about wide range reading and understanding.
There shouldnt be a topic you no nothing about."
64,2,2023,230,Public/Government/Government,Urban,Female,21-23 years,1-2 hours,"Textbooks, Online tutorials/videos, Physical tutorials/coaching centers",No,Sometimes,Sometimes,Primary ,No,3-5 dependents,Slightly Reliable,Very few,A few days a week,Average,Yes,"Yes, significantly early",I was also working that period ,Read very well and pray 
65,3,2024,199,Private,Urban,Female,18-20 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos",No,Yes,Always,Secondary ,Yes,6-8 dependents,Moderately Reliable,Some of them,Most days,Good,No,"Yes, significantly early",The location was difficult to locate and I wasn't familiar with CBT exam.,Read consistently and try locating the venue of the exam before the day.
66,1,2024,179,Private,Urban,Female,18-20 years,<1 hour,Physical tutorials/coaching centers,No,No,Rarely,Tertiary,No,1-2 dependents,No Access,No,Rarely,Average,No,"Yes, a little early",Some of the questions On the CBT wasn't what I expected ,Read and study hard to get the right score for the school you want to apply for.....If not U will keep writing Jamb every year.
67,2,2024,196,Public/Government/Government,Urban,Female,18-20 years,4+ hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers",No,Sometimes,Often,Secondary ,Yes,6-8 dependents,Very Reliable,Some of them,Daily,Good,No,"Yes, significantly early",Computer and network failure ,Read very well and practice CBT base test 
68,2,2025,185,Private,Urban,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Sometimes,Tertiary,Yes,3-5 dependents,Moderately Reliable,Most of them,A few days a week,Good,No,"Yes, a little early",I was not really prepared because I wrote jamb a year after I finished my secondary school ,Read well 
69,2,2024,199,Private,Rural,Female,21-23 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Private lessons",No,Sometimes,Often,Tertiary,Yes,,Slightly Reliable,Some of them,Most days,Good,No,"Yes, a little early",House chores ,"Make a good reading timetable, and make sure you have enough time for your books, also let ur parents know about ur timetable so they won't send you on errands when you are supposed to be reading, for those staying with their guidance, make sure you use any slight opportunity u see to open your books to read "
70,2,2024,185,Public/Government/Government,Urban,Female,24-25 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Sometimes,Sometimes,Tertiary,Yes,,Very Reliable,No,A few days a week,Average,Yes,"Yes, a little early",My system going off whilst the exam was ongoing was the biggest challenge I faced,"Register early, go to jamb centers for jamb lesson, personal reading n most importantly be familiar with your computer n know how to use it"
71,1,2022,216,Public/Government/Government,Rural,Female,18-20 years,3-4 hours,Online tutorials/videos,Yes,Yes,Sometimes,Tertiary,Yes,6-8 dependents,Very Reliable,Some of them,A few days a week,Excellent,No,"Yes, significantly early",Transportation ,Always study and be prayerful
72,1,2024,211,Public/Government/Government,Urban,Female,15-17 years,4+ hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers",No,Yes,Often,Tertiary,Yes,3-5 dependents,Very Reliable,"Yes, all",Most days,Excellent,Yes,"Yes, a little early",Distraction ,Read your books very well and pray a lot and study past questions too
73,3,2024,186,Public/Government/Government,Rural,Male,18-20 years,2-3 hours,Past questions,No,Yes,Often,Secondary ,No,3-5 dependents,Very Reliable,Some of them,Never,Good,Yes,"Yes, a little early",Studying materials,Study very hary
74,3,2024,185,Private,Urban,Female,15-17 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Often,Tertiary,Yes,1-2 dependents,Moderately Reliable,Some of them,Most days,Good,Yes,"Yes, a little early",I faced the challenge of not having light some times lack of some texts books and past questions ,I will advice the future jamb candidate to read well and follow all the syllabus and get the necessary materials needed to study and pass the examination.
75,2,2024,191,Public/Government/Government,Urban,Female,15-17 years,4+ hours,"Past questions, Textbooks, Online tutorials/videos, Study groups",No,Yes,Always,Tertiary,Yes,1-2 dependents,Moderately Reliable,"Yes, all",Most days,Good,Yes,"Yes, significantly early",Self doubt ,Be focus and be yourself 
76,1,2024,185,Public/Government/Government,Rural,Female,15-17 years,3-4 hours,Physical tutorials/coaching centers,Yes,Yes,Always,Tertiary,Yes,6-8 dependents,Moderately Reliable,"Yes, all",Most days,Good,Yes,"Yes, significantly early",Exam fever,To put his or her best to study hard and leave the rest for God.
77,1,2024,205,Private,Semi-Urban,Female,15-17 years,3-4 hours,Past questions,No,No,Rarely,Tertiary,Yes,3-5 dependents,Very Reliable,"Yes, all",Most days,Good,No,"Yes, a little early",I didn't face any challenge ,Read o
78,3,2024,197,Public/Government/Government,Rural,Female,21-23 years,1-2 hours,"Past questions, Textbooks",No,Sometimes,Often,Tertiary,Yes,1-2 dependents,Slightly Reliable,Most of them,Most days,Good,Yes,"Yes, significantly early","Computer disorder, waiting for hours before going in..","Read, concentrate, don't be in hast but also be conscious of your time"
79,2,2022,111,Public/Government,Rural,Female,18-20 years,1-2 hours,"Past questions, Textbooks, Online tutorials/videos",Yes,Yes,Often,Primary,Yes,1-2 dependents,Moderately Reliable,Most of them,Most days,Very Poor,Yes,"Yes, a little early",Not having enough material for studying ,Do your very best
80,2,2022,120,Public/Government,Urban,Male,15-17 years,2-3 hours,"Textbooks, Other (specify)",Yes,No,Often,Tertiary,Yes,9+ dependents,Slightly Reliable,No,Most days,Poor,No,"Yes, a little early",Sourcing for past questions and video tutorials ,Read and dont depend on past questions only 
81,1,2023,287,Public/Government,Rural,Female,15-17 years,2-3 hours,"Past questions, Textbooks, Online tutorials/videos",Yes,Yes,Always,Secondary,Yes,1-2 dependents,Moderately Reliable,"Yes, all",Most days,Average,Yes,"Yes, a little early",Procrastination ,Study hard 
82,2,2021,177,Public/Government,Urban,Male,18-20 years,2-3 hours,"Past questions, Private lessons",No,Yes,Sometimes,,Yes,3-5 dependents,Very Reliable,"Yes, all",Most days,Very Poor,Yes,"Yes, significantly early",Sometimes poor network  connection,"Read textbook and notes book before studying pass question, don't only study pass question "
83,2,2024,207,Public/Government,Rural,Female,15-17 years,3-4 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers",Yes,Sometimes,Always,Tertiary,Yes,1-2 dependents,Moderately Reliable,Some of them,Most days,Poor,No,"Yes, significantly early",no challenge ,Believe in yourself 
84,1,2023,218,Public/Government,Rural,Female,21-23 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Often,Tertiary,Yes,6-8 dependents,Moderately Reliable,Some of them,Most days,Poor,Yes,"Yes, significantly early",Over crowd at the center. ,Read and study hard to get the right score for the school you want to apply for.....If not U will keep writing Jamb every year.
85,1,2024,174,Private,Rural,Male,18-20 years,3-4 hours,Past questions,No,Sometimes,Often,Tertiary,Yes,3-5 dependents,Very Reliable,No,Never,Poor,No,"Yes, significantly early",The location was difficult to locate and I wasn't familiar with CBT exam.,"Read, concentrate, don't be in hast but also be conscious of your time"
86,3,2020,146,Public/Government,Urban,Female,21-23 years,1-2 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers",Yes,Sometimes,Often,Primary,No,6-8 dependents,Slightly Reliable,Some of them,Most days,Poor,Yes,"Yes, a little early",Fear of failure ,study hard and prepare yourself for the exam.
87,1,2023,263,Private,Urban,Male,18-20 years,4+ hours,"Past questions, Textbooks, Online tutorials/videos",Yes,Yes,Often,Tertiary,No,3-5 dependents,Moderately Reliable,Very few,Most days,Average,Yes,"Yes, a little early",Information overload ,To put his or her best to study hard and leave the rest for God.
88,1,2022,138,Public/Government,Rural,Female,18-20 years,<1 hour,"Past questions, Textbooks, Online tutorials/videos",No,Sometimes,Often,Primary,No,3-5 dependents,Very Reliable,Most of them,A few days a week,Average,No,"Yes, a little early",My system going off whilst the exam was ongoing was the biggest challenge I faced,"Register early, go to jamb centers for jamb lesson, personal reading n most importantly be familiar with your computer n know how to use it"
89,3,2023,195,Public/Government,Rural,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers",No,Sometimes,Often,,Yes,6-8 dependents,Moderately Reliable,Most of them,Most days,Poor,Yes,"Yes, a little early",no challenge ,Read well 
90,1,2024,236,Public/Government,Urban,Female,21-23 years,2-3 hours,"Past questions, Textbooks, Online tutorials/videos",No,Yes,Often,Primary,Yes,1-2 dependents,Moderately Reliable,"Yes, all",Most days,Poor,Yes,"Yes, significantly early",Financial issues ,My advice is that they should make sure they read and also be prepared for the exam 
91,1,2024,242,Public/Government,Rural,Male,15-17 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Often,Tertiary,Yes,1-2 dependents,Slightly Reliable,Most of them,Rarely,Average,Yes,"Yes, a little early",Getting enough materials,"Work Hard, Be smart "
92,2,2023,168,Public/Government,Rural,Male,21-23 years,1-2 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers",Yes,Sometimes,Always,,No,1-2 dependents,Moderately Reliable,Some of them,A few days a week,Average,Yes,"Yes, significantly early",Trying to score everything you read,Study hard and be very fast typing
93,2,2020,169,Public/Government,Rural,Male,15-17 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Private lessons",No,Yes,Sometimes,,Yes,3-5 dependents,Very Reliable,Most of them,Most days,Poor,Yes,"Yes, significantly early",Time,A more precise syllabus 
